@relation sea

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
%class
@attribute cl {0,1}

@data

5.401318733,8.464544329,2.403126882,0
3.117355966,7.66621039,1.96551146,0
4.536855177,8.567961528,8.063435911,0
1.167491744,8.049686455,8.083944974,0
2.722012242,4.995495374,2.873338176,0
6.484930729,0.617963555,1.1333478,1
0.677764716,8.440542901,6.685100464,0
5.574401718,8.312538914,9.557943641,0
9.846067741,0.344555374,5.991595676,0
8.73006234,0.055511768,7.294342002,1
7.553630796,6.321315815,3.755892149,0
8.375090331,3.875409863,2.513536337,0
7.50167725,6.085539463,8.19634068,0
0.929100025,6.804613922,0.226594889,1
6.940620115,5.943424301,2.483333248,0
6.476053662,3.436283328,9.851830501,1
8.197343162,8.220464406,5.294202503,0
3.716179616,8.713278257,5.219029027,1
1.391750192,0.491900811,3.071133582,1
1.309162786,9.400991679,9.252548466,0
8.74416023,8.510885268,7.517482527,0
3.947885351,4.295300005,6.254620801,1
7.973697784,1.799207519,2.13031612,0
0.123279399,2.840244007,6.149665047,1
3.090341026,2.352484211,5.860707668,1
6.676449344,1.522280037,2.425514415,0
1.886595743,0.370059667,6.469256,1
9.059223599,2.748232931,2.508886399,0
4.021141099,3.740001443,2.667441804,1
3.578465189,6.219890126,7.654200985,0
1.88938849,7.797634029,2.677066001,0
0.808542021,2.804455173,4.667526333,1
3.756595919,5.641791906,0.15158286,1
9.827564244,8.62170638,5.89162441,0
8.273345264,4.637104499,3.116557814,0
1.979585449,3.621967955,3.460560032,1
4.712303165,1.642654669,4.624770015,1
6.11302444,8.126295722,0.463557584,0
7.85517473,7.784289703,1.622441682,0
4.201652025,6.537805471,9.900798483,0
3.51766754,9.126182386,0.350482474,0
9.086605711,1.667955652,3.105733062,0
5.631743776,1.46889056,8.08746292,1
5.549209362,0.898410632,5.404084968,1
6.515369068,9.552882442,0.971737699,0
2.076432253,4.754425984,5.330862651,1
6.313507379,7.06924331,9.151813783,0
2.870439285,2.697492527,4.187374019,1
2.409405928,4.888891116,5.91291693,1
5.87438582,4.456410164,8.517492734,1
1.924811095,5.683034217,5.192318615,1
1.906222245,3.121938968,2.675879395,1
3.064157419,5.203278128,3.507768349,1
3.142038374,0.07214556,0.654816301,1
6.715214113,2.231077584,3.526222255,1
7.323839365,9.539678172,1.292597693,0
0.022089426,9.053525273,6.784972057,0
5.88808298,8.976213199,7.503096306,0
2.03600313,7.700012272,3.933792365,0
1.828241453,7.272576176,6.083893975,0
8.216543886,6.790773202,4.296885752,0
5.293561303,0.178823294,8.336839759,1
3.415004188,0.86939569,0.448343376,0
5.634506365,8.600284745,5.509754784,0
9.733390481,3.741186763,4.308473805,0
8.203968655,3.289433794,7.642563906,0
2.337739232,1.050264055,6.756551339,0
5.616956259,6.240686455,1.894941907,0
7.950827569,7.190824081,3.196568953,0
4.794550433,9.393070712,1.460730838,0
1.111906997,2.151883424,5.760378911,1
1.799823627,8.181113395,8.827919625,0
2.119164423,4.427064382,0.312563543,0
2.85751557,5.773685345,5.477039598,1
8.339145806,0.864232581,9.741446314,1
4.959123881,5.668901105,6.391021879,0
9.570388547,2.899190474,5.062910687,0
4.688168925,4.620278207,7.865538857,0
4.425465635,4.611276066,9.455511139,0
7.061416886,2.288505102,7.521872742,0
9.933707902,1.058572835,8.357086666,1
2.843375058,6.899715615,4.220325877,0
3.206057074,8.799793944,4.889596793,0
5.655181013,1.646000904,7.488147112,1
2.733432876,7.157545988,6.372420518,0
3.535218314,1.492327842,8.265005617,1
4.780070146,7.182171884,8.22333998,0
1.140418165,2.160064174,6.103519682,1
8.634968455,6.138463826,7.966503121,0
6.501531511,3.654239231,0.396754068,0
0.865683489,3.990812594,5.883758096,1
4.101298518,0.96601869,9.38282786,1
8.078768825,3.701895925,8.433152228,0
3.543907839,6.832159949,0.7561313,0
8.474220993,7.437643305,7.208169294,0
1.343520495,6.828046614,0.359063329,1
5.946126873,9.025291801,9.504045438,0
9.79418016,0.756618198,2.860587807,0
2.933046148,7.55949004,3.864950709,0
5.261554438,5.839408483,0.943979205,0
0.170102915,2.6939943,9.831295009,1
6.588428666,7.071199495,8.363512558,1
8.164082503,1.567531163,6.836826714,0
9.027085106,7.116098887,9.320440975,1
7.046570253,6.479726774,9.50991893,1
3.905612096,9.129667049,4.57335641,0
5.287560071,1.240724469,7.268281473,1
9.391271941,3.795002314,2.830992189,0
4.578038135,3.025793439,8.430636188,0
2.433182151,8.395172042,1.097898867,0
2.403514835,7.032467212,7.973762337,0
4.015247765,5.861573275,8.62440589,0
4.170806602,3.604908863,5.92321576,1
2.592957246,7.546379424,5.105595921,0
6.048117178,0.672077391,2.585325291,1
8.391416366,4.213399689,1.911611327,0
3.209774181,5.305504959,7.47747461,0
5.844740538,3.310090314,0.510243,0
7.556514871,4.645816456,8.676685823,0
5.887451166,2.771166875,7.74314665,1
6.341709116,4.038495145,4.174093695,0
2.824677495,3.270943948,6.053785606,1
5.197642102,8.156350328,5.629845373,0
3.145060682,9.75422696,8.37624319,0
4.942931856,6.647031104,2.605746033,0
9.511368903,3.267268221,9.954467942,0
9.916597919,3.021431272,5.589797179,0
8.204506215,8.568803675,6.33416183,0
6.127276386,8.094653919,9.709407518,0
4.685191736,5.381305509,1.914674066,0
7.66478693,7.985712072,9.791525499,0
2.444979692,4.258824975,8.033352155,1
1.591347516,0.737227488,2.424430476,1
3.050766742,3.693442579,5.412837601,1
2.249291382,2.403929187,1.101816261,1
7.890878004,8.426149071,5.323300684,0
7.707795992,0.377708662,1.590039467,1
4.190300842,5.057840831,5.168067867,0
3.505968399,4.228915671,4.294071584,1
1.531438429,2.370078068,8.649973801,1
4.72523208,8.617526041,4.836515443,0
0.744579419,4.627743317,1.18039018,1
4.215620044,3.717717743,3.8192273,1
3.935841263,6.010309804,9.365859113,0
4.008245863,7.095889629,0.845313366,0
9.590475593,0.174071666,1.671102227,0
1.735821483,9.616058027,1.419150515,0
7.444107027,0.688381754,2.710479844,1
5.775677912,5.046045951,9.330549927,0
7.455181013,9.445998652,1.266028145,0
5.228688484,3.06287278,2.586838602,1
1.699351961,1.448882857,1.591804849,1
8.279230234,2.433395735,0.492779359,0
2.959976233,2.039856593,5.544869765,1
0.472674327,4.247836253,0.113109328,1
9.337725518,7.9155836,1.059806476,0
3.92869674,5.843958168,5.626435644,0
1.606828172,2.772746897,3.260545304,1
6.025820405,1.695469825,3.322420686,0
3.111604952,1.185507827,4.985634106,1
9.596071932,5.135714407,9.964463734,0
0.759665499,2.788136055,4.397462865,1
2.150125734,8.498106372,2.015950147,0
3.365524831,4.932636061,5.532026968,1
2.184773698,8.775759829,8.850550072,0
6.93309654,2.054391733,8.294478312,1
7.830275751,3.251421921,4.327952329,0
1.84019901,4.707748396,6.910265452,1
0.731321578,4.422488637,5.374170342,1
3.869688878,6.327742864,6.875941152,0
0.596115493,6.563526606,2.508070097,1
