@relation sea

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
%class
@attribute cl {0,1}

@data

8.642745625,2.518056256,1.943761846,0
8.737596323,4.046757208,5.315805873,0
0.370373134,9.547816434,1.218473101,0
1.973726538,6.081599806,9.504964576,0
0.73434127,4.07888523,0.845113579,1
1.792258452,3.883527402,2.235884439,1
3.582176116,2.664903952,4.134984114,1
1.718009967,4.689151441,4.269572234,1
8.079922957,5.036631886,6.875023393,1
6.216739763,6.714478043,5.00213488,0
1.513432709,5.535908563,0.271266009,0
6.185362897,8.562285322,2.317421868,0
2.197972392,8.400134629,9.835461979,0
9.258582747,0.654428823,9.258739915,0
7.560676592,5.518077971,5.157025284,0
8.187745617,3.962975662,2.497245434,0
7.378732111,8.641334626,8.660632774,0
6.628035806,6.052923865,7.878552638,0
0.332863681,1.167479598,7.930405739,1
8.712736857,9.901940528,9.071196374,0
6.482758254,9.282078978,1.410915331,0
8.866111046,6.189852011,2.649869615,0
2.336730582,1.144320443,0.484345061,1
2.809740495,6.574669745,1.944834891,0
2.462995555,1.192611842,4.754169277,1
7.525984976,4.811715762,7.973765373,1
4.981054405,1.048586115,0.277508677,1
7.93095308,2.003472881,8.220432521,0
9.571933834,8.075451108,1.118604794,0
5.006270241,8.693310834,9.118975528,0
9.92930238,7.791948213,6.836665615,0
3.7811147,6.44073808,6.601956627,0
2.457465229,6.879286849,3.589417355,0
0.999603411,9.218369116,5.716357214,0
7.964485026,1.320714452,2.849901877,0
4.90912443,4.624293968,7.304332676,0
2.460329915,5.013362323,8.344648799,0
5.218632771,4.305711954,8.510370335,0
5.915588378,9.106729102,9.299776536,1
9.474213971,8.368681585,0.935118859,0
6.216917304,8.458108864,9.200423678,0
3.132484311,6.241689688,1.747694089,0
0.389586047,8.237836736,5.907852481,0
3.047016479,6.862109262,4.888328716,0
3.364323899,3.138283683,3.197325501,1
3.363379541,3.863738942,7.893417275,0
3.855680765,8.754065213,5.787725294,0
5.755108791,3.036710932,5.651333104,0
0.350778846,7.1123203,2.21094001,0
7.098213257,3.665665756,2.616662001,1
9.198630699,1.865368827,1.900517762,0
6.698132143,4.469044389,2.598216613,0
2.851354945,5.270183346,0.583910484,0
0.886570442,9.121580499,5.155354657,0
3.752511937,5.533005096,1.756315375,0
0.082169637,9.10127902,5.774527975,1
8.616359279,3.377749296,4.989101812,0
4.00487914,4.031306316,3.572599846,0
2.897361441,7.099983892,1.055075003,0
9.421156577,7.292013928,6.982057234,0
8.705318221,7.043518891,6.512300976,0
3.104604404,2.433124377,7.827776402,1
9.101016942,3.200660591,5.800935886,0
1.65753469,0.761458356,0.395783296,0
4.071961831,2.850414592,6.034980579,1
8.243423555,0.77600035,3.212703257,0
4.034656217,6.47197566,3.386226469,0
0.818195257,7.608889764,9.019643762,0
1.494928743,3.808459422,4.993249661,1
6.344330318,9.781324534,4.50151529,0
4.967373125,6.684735057,2.896266272,0
1.383224638,6.762435109,5.988479188,0
3.893506557,0.241170478,0.648535786,1
8.837995792,0.069938773,8.981955018,0
5.431789447,7.717426657,4.960464792,0
0.0571591,3.472791715,8.400704462,1
2.07383442,9.241105157,9.007020048,1
0.68989095,7.532291572,6.748799569,0
9.37899571,3.23013677,5.286485757,0
8.823321415,5.952891581,5.461487193,0
7.23432947,0.462997484,9.211557891,0
7.290479483,1.912268717,2.504339788,0
7.978541037,9.364790121,3.717052969,0
8.682830077,6.187458091,9.13917781,0
1.283919916,1.490766195,2.928069398,1
9.96038646,3.068698098,9.79728853,0
2.299418384,4.701221547,2.810085237,0
5.614612447,3.222107615,6.432154175,0
9.969938433,6.87862343,7.073974274,0
4.298562946,8.299962605,6.046009232,0
6.095215361,3.223333115,8.467792006,0
1.857194032,1.615853723,1.412685261,1
9.329058984,2.801547718,6.11340433,0
5.751722368,9.778646393,8.199492495,0
5.221056019,8.104436164,5.780840897,0
2.966386989,4.999890243,6.035343426,0
6.00275393,5.159620898,4.750112322,0
6.928881315,0.656664481,1.215139954,0
4.053622441,2.739260027,4.385990796,1
1.212048361,5.640219863,4.712548656,1
9.163229069,4.185959369,2.420232031,0
3.210668987,4.093392825,3.324208325,1
9.71542911,7.342564028,3.434588881,0
2.232900552,1.429588547,2.102393052,0
4.095137327,0.456957834,9.896153104,1
6.367710873,9.401753951,6.738823121,0
0.012315026,3.059141069,5.937710461,1
9.888553148,7.593733071,0.165756954,0
0.060934073,0.546799143,2.227652508,1
9.013091736,9.687207692,0.180017072,0
7.932566107,7.845006644,7.923521008,0
4.00526917,7.86178917,2.744712279,0
4.304796466,9.519359134,1.739323083,0
3.213141869,8.379568326,7.853802212,0
2.082857029,7.852152519,8.103156488,0
3.563151694,5.826056139,9.810606821,0
4.6329589,2.402631656,8.358766916,0
6.642310816,6.247796852,1.726150055,0
2.124193847,3.821040346,8.550506979,1
7.707353837,6.035302515,4.819265953,0
6.715825679,8.237264063,0.283636502,0
7.299679929,2.269856272,4.371713935,0
4.146835477,8.18448529,1.943303779,0
4.831762634,4.854098397,4.213627285,0
6.369516821,7.13796796,4.096601007,0
4.270011904,7.900183054,9.8110433,0
5.337722019,3.881214787,9.52368972,0
4.148340675,2.967043992,1.452318954,0
9.318161558,5.77793017,7.165465337,0
2.364565115,4.507266288,7.97548161,1
2.589014677,8.826413179,6.317101242,0
9.576077429,8.769697637,9.313763949,0
7.942050539,0.991612018,0.734901009,0
4.801076322,3.483831425,6.82169115,0
0.070751386,6.962636263,2.16400446,0
2.976137535,0.759999506,6.068420475,1
7.972827488,3.25202591,0.259735553,0
3.676417695,8.211451238,6.775874102,0
7.220403713,3.698139961,1.545826611,1
8.856953507,6.253658133,9.289798099,1
8.899761288,6.668878394,7.167981232,0
9.892650015,7.829064005,1.350859026,0
2.052690035,1.582103518,9.951917257,1
3.156735993,4.417453079,5.919961248,0
4.570118199,5.244102472,4.443645603,0
0.588143178,8.267425031,6.494497184,0
6.942172154,1.18599537,9.77379848,0
6.632953794,4.352477522,7.795013634,0
2.098622147,2.681375297,5.900063098,1
3.840144182,6.169284749,0.658790892,0
1.186183736,1.623744979,8.9127102,1
8.287339893,2.078357312,3.66042897,0
0.559732674,9.247863731,5.382972617,0
5.585266931,5.01980123,1.581147181,0
5.840707604,3.702651238,5.85108156,0
2.307671885,5.758848372,9.763132821,0
0.534195064,8.442994853,0.765725934,0
3.566760007,1.263299695,8.979576512,1
4.517808174,1.507349306,5.790800681,1
6.814845354,0.709496111,0.074575353,0
9.448787462,8.654935672,2.236503571,0
6.632583232,0.713190641,6.358551626,0
6.16643488,2.670222397,6.367428909,0
1.867334868,1.209009974,5.800229423,1
0.212413493,8.226182122,1.447892686,0
5.65560728,5.832363192,1.752173826,0
8.012822869,6.046667163,6.431477684,0
8.770862494,0.753821389,5.393126927,0
2.01748952,5.877850654,8.484539007,0
9.491438041,7.526274384,7.653996968,1
4.358637182,8.2890352,8.727968452,0
5.512816317,3.482316645,1.945040766,0
9.826041788,3.669673086,1.972650397,0
4.761152143,1.388469875,8.275910067,1
3.293946711,1.963915914,9.731457884,1
0.738786781,7.738249487,9.461478533,1
8.150715922,0.294338657,2.813219175,0
7.819306418,5.521598258,9.729766566,0
2.751354685,3.167631064,1.417951943,1
2.99566839,2.572526757,6.898547814,1
6.039159845,2.702103488,9.471630424,0
1.231982568,1.414071782,9.712241716,1
8.732251445,1.554708984,0.910204532,0
0.143127425,7.767713409,8.826659096,0
3.336857708,3.392821035,3.008657963,0
7.61112689,0.990455213,9.373915445,0
3.408247367,4.510661325,1.318144574,0
1.12992992,9.155013598,3.501811931,0
2.699434619,3.260663241,5.086958218,1
1.395809627,0.359612464,3.867282982,0
0.932804964,3.190823042,9.186364173,0
3.259336235,2.054432673,8.696550202,1
4.506864476,4.02929158,3.785881892,0
5.00040504,1.091168801,8.482068384,1
9.40996653,7.394561702,4.103745763,0
5.231430488,9.992096516,4.493157183,0
7.495194851,2.421897622,7.569811441,0
4.362146538,2.75441855,3.257853775,0
5.342631436,2.096607451,2.895046215,0
1.344200916,3.510464841,8.388476669,1
9.393804146,8.663788927,9.184322465,0
7.391364349,2.702543981,3.797707009,0
9.305307078,9.534080475,6.317613084,0
5.166975762,6.982223971,4.534893803,0
4.951139659,7.255856293,1.877920141,0
8.29828342,9.554734963,9.165343434,0
8.3604484,0.07700378,8.36739487,0
0.30870025,3.858424643,5.701684877,1
7.924528818,8.910787837,4.960614543,0
1.829129202,5.991163747,1.332431652,0
1.521940364,9.089586246,0.939793897,0
